	PMID	PT	OT	MH	SI	TI	GR
260	33290397	Journal Article;Research Support, NonU.S. Gov't		Animals;COVID19/drug therapy;Cathepsin B/*chemistry;Cathepsin L/*chemistry;Chlorocebus aethiops;Drug Repositioning;Humans;Models, Theoretical;Protein Binding;SARSCoV2/*physiology;Serine Endopeptidases/*chemistry;Spike Glycoprotein, Coronavirus/genetics;Vero Cells;Virion;Virus Internalization/*drug effects;DA 2021/01/05 06:00		Targeting TMPRSS2 and Cathepsin B/L together may be synergistic against SARS-CoV-2 	WT_/Wellcome Trust/United Kingdom;IA/S/14/1/501307/WTDBT_/DBTWellcome Trust India Alliance/India
261	33103068	Journal Article	O  NNLM;Bioinformatics;Systems Biology;Virology	DA 2020/10/27 06:01		Integrative Transcriptome Analyses Empower the Anti-COVID-19 Drug Arsenal.	
262	32344177	Journal Article	O  NNLM;2019nCoV;Azithromycin;COVID19;Hydroxychloroquine;SARSCoV2;Vero E6	Animals;Antiviral Agents/*pharmacology;Azithromycin/*pharmacology;Betacoronavirus/*drug effects;COVID19;Cell Line;Chlorocebus aethiops;Coronavirus Infections/*drug therapy;Drug Repositioning;Drug Synergism;Drug Therapy, Combination/methods;Humans;Hydroxychloroquine/*pharmacology;Pandemics;Pneumonia, Viral/*drug therapy;SARSCoV2;Vero Cells;Virus Replication/drug effects;DA 2020/06/19 06:00		In vitro testing of combined hydroxychloroquine and azithromycin on SARS-CoV-2 shows 	
263	32403217	Journal Article;Review	O  NNLM;ACE2, acute kidney injury;COVID;Kawasaki disease;blood pressure;catepsin;coronavirus;cytokine storm;endothelium;heparin	DA 2020/05/15 06:01		Hypertension, Thrombosis, Kidney Failure, and Diabetes: Is COVID-19 an Endothelial 	R01 DK123259/DK/NIDDK NIH HHS/United States;P30 DK020541/DK/NIDDK NIH HHS/United States;R01HL146691/NH/NIH HHS/United States;P60 DK020541/DK/NIDDK NIH HHS/United States;R01 HL146691/HL/NHLBI NIH HHS/United States
264	32693298	Journal Article;Review	O  NNLM;Antiviral drugs;Bioactivity scores;COVID19;In silico ADMET properties;Lipinski’s parameters;SARSCoV2	Animals;Antiviral Agents/pharmacokinetics/*therapeutic use;Betacoronavirus/*drug effects;Biological Availability;COVID19;COVID19 Vaccines;Coronavirus Infections/*drug therapy/prevention & control;Drug Combinations;Humans;Pandemics;Pneumonia, Viral/*drug therapy;SARSCoV2;Viral Vaccines;DA 2020/09/25 06:00		COVID-19 treatment: Much research and testing, but far, few magic bullets against 	
265	32817953	Preprint		DA 2020/08/21 06:01		Maraviroc inhibits SARS-CoV-2 multiplication and s-protein mediated cell fusion in 	R35 GM119617/GM/NIGMS NIH HHS/United States
266	32533062	Journal Article;Research Support, NonU.S. Gov't;Review		AngiotensinConverting Enzyme 2;Antiviral Agents/*therapeutic use;Betacoronavirus/*drug effects/genetics/immunology/pathogenicity;COVID19;Coronavirus Infections/*drug therapy/epidemiology/immunology/virology;Cytokines/antagonists & inhibitors/genetics/immunology;Gene Expression Regulation;HostPathogen Interactions/*drug effects/genetics/immunology;Humans;Middle East Respiratory Syndrome Coronavirus/drug ;Molecular Targeted Therapy/methods;*Pandemics;PeptidylDipeptidase A/genetics/immunology;Pneumonia, Viral/*drug therapy/epidemiology/immunology/virology;SARS Virus/drug effects/genetics/immunology/pathogenicity;SARSCoV2;Severe Acute Respiratory Syndrome/drug therapy/epidemiology/immunology/virology;Signal Transduction/*drug effects/genetics/immunology;Spike Glycoprotein, Coronavirus/genetics/immunology;TLymphocytes/drug effects/immunology/virology;DA 2020/07/01 06:00		Overview of lethal human coronaviruses.	
267	32719687	Systematic Review	O  NNLM;*COVID19;*SARS  CoV2;*adaptive immunity;*coronavirus;*innate immunity	Betacoronavirus/*immunology;COVID19;*Coronavirus Infections/epidemiology/immunology/therapy;*Epidemics;Humans;*Immunity, Cellular;*Immunotherapy;*Pandemics;*Pneumonia, Viral/epidemiology/immunology/therapy;SARSCoV2;DA 2020/08/04 06:00		Cell-Mediated Immune Responses to COVID-19 Infection.	
268	32801640	Journal Article;Review	O  NNLM;antiviral therapy;coronavirus disease 2019;severe acute respiratory syndrome coronavirus 2;special population	Aged;Antiviral Agents/adverse effects/pharmacokinetics/*pharmacology;Betacoronavirus/drug effects/isolation & purification;COVID19;Coronavirus Infections/*drug therapy/epidemiology/virology;Critical Illness;Female;Humans;Kidney Diseases/complications;Liver Diseases/complications;Pandemics;Pneumonia, Viral/*drug therapy/epidemiology/virology;Pregnancy;SARSCoV2;DA 2020/08/25 06:00		Antiviral Agent Therapy Optimization in Special Populations of COVID-19 Patients.	
269	32633327	Journal Article;Review	O  NNLM;*Middle East respiratory syndrome coronavirus;*acute hepatic injury;*acute kidney injury;*acute neurologic syndrome;*acute respiratory distress syndrome;*central neurogenic respiratory failure;*coronavirus disease 2019;*cytokine release syndrome;*heart failure;*pneumonia;*severe acute respiratory syndrome coronavirus 1;*severe acute respiratory syndrome coronavirus 2	Acute Kidney Injury/virology;COVID19;Coronavirus Infections/diagnosis/*pathology;Cytokine Release Syndrome/virology;Gastrointestinal Diseases/virology;Heart Failure/virology;Humans;Liver Failure, Acute/virology;Nervous System Diseases/virology;Pandemics;Pneumonia, Viral/diagnosis/*pathology;Respiratory Insufficiency/virology;Severe Acute Respiratory Syndrome/diagnosis/*pathology;DA 2020/08/04 06:00		SARS, MERS and COVID-19: clinical manifestations and organ-system complications: a 	
270	32499303	Journal Article;Research Support, N.I.H., Extramural	O  NNLM;*COVID19;*COVID19 symptoms;*Famotidine;*PROMs;*SARSCoV2;*coronavirus;*outpatients	Adult;Betacoronavirus/isolation & purification;COVID19;*Coronavirus Infections/diagnosis/drug therapy/physiopathology;DoseResponse Relationship, Drug;Drug Monitoring/*methods;Famotidine/*administration & dosage;Female;Histamine H2 Antagonists/administration & dosage;Humans;Male;Middle Aged;Oximetry/methods;*Pandemics;Patient Reported Outcome Measures;*Pneumonia, Viral/diagnosis/drug therapy/physiopathology;Retrospective Studies;SARSCoV2;Self Administration;Symptom Assessment/*methods;Treatment Outcome;DA 2020/08/25 06:00		Famotidine use and quantitative symptom tracking for COVID-19 in non-hospitalised 	P30 CA045508/CA/NCI NIH HHS/United States;R35 GM118182/GM/NIGMS NIH HHS/United States
271	33041830	Journal Article;Review	O  NNLM;antiinflammatory;antiviral;coronavirus disease 2019;drug repurposing;immunotherapy;pathophysiology;severe acute respiratory syndrome coronavirus 2	DA 2020/10/13 06:01		Pathophysiology and Potential Therapeutic Candidates for COVID-19: A Poorly 	
272	32727107	Case Reports	O  NNLM;COVID19;acute respiratory distress syndrome (ARDS);case report;cytokines;immunotherapy;inflammation	Administration, Intravenous;Antibodies, Monoclonal, Humanized/administration & dosage/*therapeutic use;Antiviral Agents/therapeutic use;Betacoronavirus/isolation & purification;COVID19;Combined Modality Therapy;Coronavirus Infections/*complications;Dyspnea/diagnosis;Humans;Hypoxia/diagnosis;Male;Middle Aged;Noninvasive Ventilation/methods;Pandemics;Pneumonia, Viral/*complications;Respiratory Distress Syndrome/diagnostic imaging/*etiology/therapy;SARSCoV2;Tomography, XRay Computed/methods;Treatment Outcome;DA 2020/08/07 06:00		Rapid and Impressive Response to a Combined Treatment with Single-Dose Tocilizumab 	
273	32527763	Journal Article;Research Support, NonU.S. Gov't		Antiviral Agents/*therapeutic use;COVID19;*Coronavirus Infections;Drug Repositioning;Humans;Interferons/*therapeutic use;Multiple Sclerosis/*drug therapy;*Pandemics;*Pneumonia, Viral;DA 2020/09/10 06:00		Should interferons take front stage as an essential MS disease-modifying therapy in 	
274	32433345	Journal Article;Review		Active Transport, Cell Nucleus/drug effects;Antibodies, Monoclonal/therapeutic use;Antiviral Agents/*therapeutic use;*Betacoronavirus/genetics;COVID19;Coronavirus Infections/*drug therapy;*Drug Development;Genome, Viral;Humans;Killer Cells, Natural/immunology;Pandemics;Pneumonia, Viral/*drug therapy;SARSCoV2;DA 2020/09/01 06:00		The pharmacological development of direct acting agents for emerging needed therapy 	
275	33351817	Journal Article;Observational Study;Research Support, N.I.H., Extramural		Aged;CReactive Protein;COVID19/blood/complications/*epidemiology/virology;Cohort Studies;Female;Ferritins/blood;Hospital Mortality;Humans;Intensive Care Units;Interleukin6/blood;LLactate Dehydrogenase/blood;Lymphocyte Count;Male;Middle Aged;Obesity/blood/complications/*epidemiology/virology;Procalcitonin/blood;*Respiration, Artificial;Respiratory Insufficiency/blood/complications/*epidemiology/virology;Retrospective Studies;Risk Factors;SARSCoV2/pathogenicity;Smoking/adverse effects;DA 2021/01/09 06:00		Obesity and smoking as risk factors for invasive mechanical ventilation in COVID-19: 	UL1 TR001881/TR/NCATS NIH HHS/United States;T32 5T32HL0727521/NH/NIH HHS/United States;K08 DA048163/DA/NIDA NIH HHS/United States;T32 HL072752/HL/NHLBI NIH HHS/United States;KL2 TR001882/TR/NCATS NIH HHS/United States;TL1 TR001883/TR/NCATS NIH HHS/United States
276	32739134	Journal Article;Systematic Review	O  NNLM;Atención Primaria;COVID19;Chloroquine;Cloroquina;Hidroxicloroquina;Hydroxychloroquine;Primary Care	COVID19/drug therapy;Chloroquine/*therapeutic use;Coronavirus Infections/drug therapy;Humans;Hydroxychloroquine/therapeutic use;Uncertainty;DA 2020/08/28 06:00		[Pharmacological treatment in uncertainty times: Hydroxychloroquine/chloroquine use 	
277	32544867	Clinical Trial;Journal Article	O  NNLM;COVID19;Coronavirus;Interferon Beta1a;Pulmonary infection	Adolescent;Adult;Aged;Aged, 80 and over;Antiviral Agents/administration & dosage/pharmacology/*therapeutic use;*Betacoronavirus/drug effects;COVID19;Coronavirus Infections/diagnostic imaging/*drug therapy;Drug Combinations;Drug Therapy, Combination;Female;Humans;Hydroxychloroquine/administration & dosage/therapeutic use;Injections, Subcutaneous;Interferon beta1a/administration & dosage/pharmacology/*therapeutic use;Lopinavir/administration & dosage/therapeutic use;Lung/diagnostic imaging;Male;Middle Aged;*Pandemics;Pneumonia, Viral/diagnostic imaging/*drug therapy;Prospective Studies;Ritonavir/administration & dosage/therapeutic use;SARSCoV2;Tomography, XRay Computed;Treatment Outcome;Young Adult;DA 2020/07/18 06:00		Subcutaneous administration of interferon beta-1a for COVID-19: A non-controlled 	
278	32203970	Journal Article;Review	O  NNLM;*Angiotensin receptor blockers;*Angiotensinconverting enzyme inhibitors;*COVID19;*Renal and cardiac side effects;*SARSCoV2;*Severe acute respiratory syndrome coronavirus	Angiotensin Receptor Antagonists;AngiotensinConverting Enzyme 2;AngiotensinConverting Enzyme Inhibitors;Angiotensins/*antagonists & inhibitors;Betacoronavirus/physiology;COVID19;Coronavirus Infections/*complications;Humans;Kidney/virology;Kidney Diseases/*complications/*drug therapy;Kidney Transplantation;Nephrologists;Pandemics;PeptidylDipeptidase A;Pneumonia, Viral/*complications;Renal Dialysis;SARSCoV2;Virus Replication;DA 2020/05/28 06:00		Should COVID-19 Concern Nephrologists? Why and to What Extent? The Emerging Impasse 	
279	32582574	Journal Article;Research Support, N.I.H., Extramural	O  NNLM;*COVID19;*alveolar;*angiotensin;*coagulopathy;*lung	Alveolar Epithelial Cells/*metabolism;AngiotensinConverting Enzyme 2;Betacoronavirus/*metabolism;COVID19;Coronavirus Infections/pathology;HostPathogen Interactions/physiology;Humans;Lung/pathology/virology;Pandemics;PeptidylDipeptidase A/*metabolism;Pneumonia, Viral/pathology;Receptors, Virus/*metabolism;ReninAngiotensin System/*physiology;SARSCoV2;Virus Internalization;DA 2020/07/07 06:00		ACE2, Much More Than Just a Receptor for SARS-COV-2.	R01 HL150474/HL/NHLBI NIH HHS/United States
280	32687696	Journal Article;Research Support, NonU.S. Gov't;Review	O  NNLM;*COVID19;*SARSCoV2;*antiinflammatory drugs;*antiviral drugs;*direct acting antivirals;*hosttargeted approaches;*repurposing;*small molecule inhibitors	Animals;AntiInflammatory Agents/therapeutic use;Antiviral Agents/*therapeutic use;Betacoronavirus/*drug effects/isolation & purification;COVID19;Coronavirus Infections/*drug therapy/immunology/virology;*Drug Repositioning;Humans;Inflammation/immunology/prevention & control/virology;Pandemics;Pneumonia, Viral/*drug therapy/immunology/virology;SARSCoV2;Virus Replication/drug effects;DA 2020/09/24 06:00		Old Drugs for a New Virus: Repurposed Approaches for Combating COVID-19.	
281	33206207	Journal Article;Systematic Review	O  NNLM;COVID19;Histamine;Histamine receptor;Immunomodulation;Mast cells;SARSCoV2	COVID19/*drug therapy/metabolism;Histamine Antagonists/*therapeutic use;Histamine H2 Antagonists/therapeutic use;Humans;Receptors, Histamine/*drug effects/metabolism;SARSCoV2/drug effects/metabolism;DA 2021/01/22 06:00		Histamine receptors and COVID-19.	
282	32500409	Journal Article;Review	O  NNLM;*COVID19;*COVID19 virus;*Familial Mediterranean fever;*Rheumatic disease;*SARSCoV2;*Systemic lupus erythematosus	BCG Vaccine/immunology;*Betacoronavirus;COVID19;Child;Coronavirus Infections/*drug therapy/prevention & control;Female;Humans;Male;MeaslesMumpsRubella Vaccine/immunology;Pandemics/prevention & control;Pneumonia, Viral/*drug therapy/prevention & control;Rheumatic Diseases/*drug therapy;SARSCoV2;DA 2020/07/15 06:00		Implications of COVID-19 in pediatric rheumatology.	
283	32493514	Clinical Trial Protocol;Letter	O  NNLM;COVID19;IL6Rezeptor blockade;Inflammation;Pneumonia;Randomised controlled trial;SARSCoV2;Tocilizumab;Ventilator free days;protocol	AntiInflammatory Agents/adverse effects/*therapeutic use;Antibodies, Monoclonal, Humanized/adverse effects/*therapeutic use;Betacoronavirus/*drug effects/pathogenicity;COVID19;Coronavirus Infections/diagnosis/*drug therapy/physiopathology/virology;DoubleBlind Method;Germany;HostPathogen Interactions;Humans;Lung/*drug effects/physiopathology/virology;Multicenter Studies as Topic;Pandemics;Pneumonia, Viral/diagnosis/*drug therapy/physiopathology/virology;Prospective Studies;Randomized Controlled Trials as Topic;Recovery of Function;Respiration, Artificial;Risk Assessment;SARSCoV2;Severity of Illness Index;Time Factors;Treatment Outcome;DA 2020/06/11 06:00		A prospective, randomised, double blind placebo-controlled trial to evaluate the 	
284	32562159	Comparative Study;Journal Article;Observational Study	O  NNLM;Combination therapy;Coronavirus disease 2019;Length of stay in hospitals (ALOS)	Adult;Aged;Azithromycin/administration & dosage;COVID19/complications/*drug therapy;Drug Combinations;Drug Therapy, Combination;Female;Hospitalization/*statistics & numerical data;Humans;Hydroxychloroquine/administration & dosage;Iran;Length of Stay;Levofloxacin/administration & dosage;Lopinavir/administration & dosage;Male;Meropenem/administration & dosage;Middle Aged;Naproxen/administration & dosage;Oseltamivir/administration & dosage;Pneumonia, Viral/*drug therapy/virology;Prednisolone/administration & dosage;Retrospective Studies;Ritonavir/administration & dosage;Treatment Outcome;Vancomycin/administration & dosage;DA 2020/12/15 06:00		The clinical value of two combination regimens in the Management of Patients 	
285	32435882	Journal Article	O  NNLM;*Clinical dose;*Indomethacin;*Modelbased;*SARSCoV2;*Translational model	Animals;Antiviral Agents/*administration & dosage/pharmacokinetics/*therapeutic use;Betacoronavirus/drug effects;COVID19;Coronavirus Infections/*drug therapy/virology;DelayedAction Preparations/administration & dosage/pharmacokinetics/therapeutic use;Dogs;*Drug Dosage Calculations;Humans;Indomethacin/*administration & dosage/pharmacokinetics/*therapeutic use;*Models, Biological;Pandemics;Pneumonia, Viral/*drug therapy/virology;SARSCoV2;Viral Load/drug effects;DA 2020/07/01 06:00		Model based approach for estimating the dosage regimen of indomethacin a potential 	
286	32793615	Journal Article;Review	O  NNLM;AKI;COVID19;acute kidney injury;dialysis;transplant	DA 2020/08/15 06:01		COVID-19 and the Kidneys: An Update.	
287	32986137	Journal Article;Review	O  NNLM;*Antiviral therapy;*COVID19 treatment;*Chronic kidney disease;*Nephrology	Adenosine Monophosphate/analogs & derivatives/therapeutic use;Adrenal Cortex Hormones/therapeutic use;Alanine/analogs & derivatives/therapeutic use;Amides/therapeutic use;Antibodies, Monoclonal/therapeutic use;COVID19;Cobicistat/therapeutic use;Coronavirus Infections/*complications/drug therapy;Darunavir/therapeutic use;Drug Combinations;Humans;Kidney/drug effects/injuries/physiopathology;Lopinavir/therapeutic use;Pandemics;Pneumonia, Viral/*complications/drug therapy;Pyrazines/therapeutic use;Renal Insufficiency, Chronic/complications/*drug therapy;Renal Replacement Therapy/methods;Ritonavir/therapeutic use;DA 2020/11/25 06:00		Current treatment of COVID-19 in renal patients: hope or hype?	
288	33041391	Journal Article;Review	O  NNLM;COVID19;Human respiratory infection;Natural inhibitors	DA 2020/10/13 06:00		Coronaviruses and Nature's Pharmacy for the Relief of Coronavirus Disease 2019.	
289	32720223	Journal Article;Review	O  NNLM;COVID19;Cardiovascular;Gastrointestinal;Lungs;Neurological;SARSCoV2	AngiotensinConverting Enzyme 2;Betacoronavirus;COVID19;Coronavirus Infections/*pathology;Gastrointestinal Tract/*pathology/virology;Heart/*virology;Humans;Lung/*pathology/virology;Myocardium/*pathology;Nervous System/*pathology/virology;Pandemics;PeptidylDipeptidase A/metabolism;Pneumonia, Viral/*pathology;SARSCoV2;Virus Attachment;DA 2020/10/27 06:00		Organ-specific manifestations of COVID-19 infection.	
290	32533292	Comment;Letter	O  NNLM;*Anticoagulation;*COVID19;*Immune therapy;*Strategy	Betacoronavirus;COVID19;*Coronavirus;*Coronavirus Infections;Humans;*Pandemics;*Pneumonia, Viral;SARSCoV2;DA 2020/07/10 06:00		Targeting the immunology of coronavirus disease-19: synchronization creates 	
291	33038418	Journal Article;Review	O  NNLM;COVID19;Cytokines;Inflammatory pathways;Interleukin;JAK/STAT;TLR	AntiInflammatory Agents/*therapeutic use;COVID19/*drug therapy/immunology;Humans;Inflammation/drug therapy/immunology;*SARSCoV2;DA 2020/12/29 06:00		Targeting pivotal inflammatory pathways in COVID-19: A mechanistic review.	
292	33428995	Journal Article;Research Support, N.I.H., Extramural;Research Support, NonU.S. Gov't	O  NNLM;*COVID19 vaccine;*Nanovaccine;*SARSCoV2;*mRNA vaccine	Animals;COVID19/immunology/*prevention & control;COVID19 Vaccines/*administration & dosage/immunology;Drug Carriers/*administration & dosage;Drug Delivery Systems/methods/trends;Humans;Nanocapsules/*administration & dosage;SARSCoV2/*drug effects/immunology;Viral Vaccines/administration & dosage/immunology;DA 2021/05/26 06:00		Nanocarrier vaccines for SARS-CoV-2.	R01 NS036126/NS/NINDS NIH HHS/United States;R01 MH115860/MH/NIMH NIH HHS/United States;P01 DA028555/DA/NIDA NIH HHS/United States;P30 MH062261/MH/NIMH NIH HHS/United States;R01 MH121402/MH/NIMH NIH HHS/United States;R01 AG043540/AG/NIA NIH HHS/United States;R01 AG043530/AG/NIA NIH HHS/United States;F31 NS042419/NS/NINDS NIH HHS/United States
293	33132570	Journal Article;Review	O  NNLM;Coronavirus;Coronavirus disease2019;Heparin;Hydroxychloroquine;Remdesvir;SARSCoV2;Tocilizumab	DA 2020/11/03 06:01		Current Approaches to COVID-19: Therapy and Prevention.	
294	32550705	Journal Article;Review	O  NNLM;*COVID19 diagnostic testing [Supplementary Concept];*Patients;*Therapeutics	Betacoronavirus;Biomedical Research/*trends;COVID19;Coronavirus Infections/*therapy;Humans;Pandemics;Pneumonia, Viral/*therapy;SARSCoV2;DA 2020/07/24 06:00		Treatment and research lines for the patient with COVID-19. What do we have and 	
295	33317695	Journal Article;Research Support, NonU.S. Gov't	O  NNLM;*TFEB;*autophagy;*human;*human T cells;*immunology;*inflammation;*spermidine;*vaccine	Adjuvants, Immunologic/pharmacology;Adult;Aged;Aging/*immunology;Animals;Autophagy/*immunology;Basic HelixLoopHelix Leucine Zipper Transcription Factors/metabolism;CD8Positive TLymphocytes/*immunology;Cell Line, Tumor;Humans;Immunologic Memory/immunology;Interferongamma/blood;Jurkat Cells;Mice;Mice, Inbred C57BL;Mice, Knockout;Middle Aged;Peptide Initiation Factors/metabolism;RNABinding Proteins/metabolism;Respiratory Syncytial Virus Vaccines/*immunology;Respiratory Syncytial Viruses/immunology;Spermidine/blood/*pharmacology;Vaccination;Young Adult;DA 2021/03/17 06:00	ClinicalTrials.gov/NCT01070407;ClinicalTrials.gov/NCT01296451	Autophagy in T cells from aged donors is maintained by spermidine and correlates 	WT_/Wellcome Trust/United Kingdom;WT109665MA/Wellcome/International
296	33510041	Journal Article;Multicenter Study;Observational Study;Research Support, NonU.S. Gov't	O  NNLM;*autoimmune diseases;*epidemiology;*health care;*outcome and process assessment;*outcome assessment;*therapeutics	Adult;Brazil/epidemiology;COVID19/*immunology/*mortality/therapy;Critical Care/statistics & numerical data;Emergency Medical Services/statistics & numerical data;Female;Hospitalization/statistics & numerical data;Humans;Immunosuppression/*adverse effects;Male;Middle Aged;Prospective Studies;*Registries;Respiration, Artificial/statistics & numerical data;Rheumatic Diseases/*complications/immunology;DA 2021/02/07 06:00		High levels of immunosuppression are related to unfavourable outcomes in 	
297	33412395	Journal Article	O  NNLM;Covid19;IFNβ1a;Intensive care;Mortality;Outcome;Survival	Adolescent;Adult;Aged;Aged, 80 and over;Antiviral Agents/*therapeutic use;COVID19/*drug therapy;CaseControl Studies;Drug Combinations;Female;HIV Protease Inhibitors/*therapeutic use;Humans;Interferonbeta/administration & dosage/*therapeutic use;Lopinavir/administration & dosage/*therapeutic use;Male;Middle Aged;Retrospective Studies;Ritonavir/administration & dosage/*therapeutic use;Young Adult;DA 2021/02/23 06:00		Combination therapy of IFNβ1 with lopinavir-ritonavir, increases oxygenation, 	
298	32472461	Journal Article;Review	O  NNLM;COVID19;Coronavirus;Rheumatoid arthritis;Treatment	Antirheumatic Agents/*pharmacology;Betacoronavirus/isolation & purification;COVID19;Comorbidity;*Coronavirus Infections/drug therapy/epidemiology/immunology;Humans;*Pandemics;*Pneumonia, Viral/drug therapy/epidemiology/immunology;*Rheumatic Diseases/drug therapy/epidemiology/immunology;SARSCoV2;DA 2020/06/25 06:00		COVID-19, chronic inflammatory rheumatic disease and anti-rheumatic treatments.	
299	32753153	Letter		Antiviral Agents/*therapeutic use;Betacoronavirus/*drug effects;COVID19;Coronavirus Infections/*drug therapy;Famotidine/*therapeutic use;Histamine H2 Antagonists/*therapeutic use;Humans;Pandemics;Pneumonia, Viral/*drug therapy;SARSCoV2;Treatment Outcome;DA 2020/11/06 06:00		Famotidine Against SARS-CoV2: A Hope or Hype?	
300	32278766	Journal Article;Research Support, NonU.S. Gov't;Review	O  NNLM;*COVID19;*Hospital pharmacy;*Pharmacy service;*Rational use of medicine;*Telehealth	COVID19/epidemiology/*therapy;Humans;Pharmacists/*organization & administration;Pharmacy Service, Hospital/*organization & administration;Professional Role;Telemedicine/organization & administration;DA 2020/12/23 06:00		Fighting against COVID-19: Innovative strategies for clinical pharmacists.	
301	33358260	Journal Article	O  NNLM;ARDS;Blood purification;Critically ill COVID19;Cytokine storm;Plasmapheresis	DA 2020/12/29 06:00		Plasmapheresis reduces cytokine and immune cell levels in COVID-19 patients with 	
302	32950749	Journal Article	O  NNLM;Alcohol;COVID19;Cirrhosis;Mortality	DA 2020/09/21 06:00	ClinicalTrials.gov/NCT04439084	Predictors of Outcomes of COVID-19 in Patients with Chronic Liver Disease: US 	R01 AA024762/AA/NIAAA NIH HHS/United States;UL1 TR002384/TR/NCATS NIH HHS/United States
303	32835246	Journal Article;Review		DA 2020/08/25 06:01		The immunology of COVID-19: is immune modulation an option for treatment?	
304	32838164	Journal Article;Review	O  NNLM;ACE2;COVID19;Cardiovascular complications;Furin;SARSCoV2;Spike protein	DA 2020/08/25 06:00		Involvement of Spike Protein, Furin, and ACE2 in SARS-CoV-2-Related Cardiovascular 	
305	33329400	Journal Article	O  NNLM;*COVID19;*SARSCOV2;*hypernatremia;*hyponatremia;*mortality;*sepsis	Aged;COVID19/epidemiology/*mortality/virology;Female;FollowUp Studies;Global Health;Hospital Mortality/*trends;Hospitalization/statistics & numerical data;Humans;Hypernatremia/*physiopathology;Hyponatremia/*physiopathology;Male;Middle Aged;Outcome Assessment, Health Care;Prognosis;Registries/*statistics & numerical data;Retrospective Studies;SARSCoV2/*isolation & purification;Survival Rate;DA 2021/01/05 06:00	ClinicalTrials.gov/NCT04334291	Prognostic Impact of Hyponatremia and Hypernatremia in COVID-19 Pneumonia. A 	
306	32616381	Journal Article;Review	O  NNLM;*ARDS;*COVID19;*Glucocorticoids;*Immune response;*SARSCoV2	AntiInflammatory Agents/*therapeutic use;Antiviral Agents/therapeutic use;Betacoronavirus/drug effects;COVID19;Coronavirus Infections/*drug therapy/pathology;Cytokine Release Syndrome/*drug therapy;Dexamethasone/*therapeutic use;Glucocorticoids/*therapeutic use;Humans;Pandemics;Pneumonia, Viral/*drug therapy/pathology;Pulmonary Alveoli/pathology;SARSCoV2;DA 2020/09/29 06:00		A critical evaluation of glucocorticoids in the management of severe COVID-19.	
307	32811798	Comment;Letter		Betacoronavirus;COVID19;*Coronavirus Infections/drug therapy;Health Personnel;Humans;Hydroxychloroquine;India;*Pandemics;*Pneumonia, Viral;SARSCoV2;DA 2020/09/24 06:00		Hydroxychloroquine for prophylaxis in COVID-19: Need to revisit dosing regimen.	
308	32320516	Journal Article;Research Support, NonU.S. Gov't;Review		Adenosine Monophosphate/analogs & derivatives/therapeutic use;Alanine/analogs & derivatives/therapeutic use;Amides/therapeutic use;AngiotensinConverting Enzyme 2;AngiotensinConverting Enzyme Inhibitors/therapeutic use;Antiviral Agents/*therapeutic use;Betacoronavirus/*drug effects/immunology/pathogenicity;COVID19;COVID19 Testing;COVID19 Vaccines;Clinical Laboratory Techniques;Coronavirus Infections/diagnosis/*drug therapy/*epidemiology/immunology/prevention & ;Disease Progression;Gene Expression Regulation;HostPathogen Interactions/genetics/immunology;Humans;Immunization, Passive/methods;*Pandemics;PeptidylDipeptidase A/genetics/immunology;Pneumonia, Viral/diagnosis/*drug therapy/*epidemiology/immunology;Pyrazines/therapeutic use;SARSCoV2;Severity of Illness Index;Spike Glycoprotein, Coronavirus/antagonists & inhibitors/*genetics/immunology;Viral Vaccines/biosynthesis;DA 2020/07/01 06:00		Scientific research progress of COVID-19/SARS-CoV-2 in the first five months.	81521001, 81870182/National Natural Science Foundation of China/International;2016YFC1301204, 2020YFC1316701/National Key Basic Research Programme/International
309	32758659	Journal Article;Observational Study	O  NNLM;COVID19;Coronavirus;Pneumonia;Respiratory distress syndrome;SARSCoV2	Aged;Aged, 80 and over;Antiviral Agents/therapeutic use;Betacoronavirus/isolation & purification;COVID19;Cause of Death;Coronavirus Infections/diagnosis/drug therapy/*mortality/therapy;Female;Hospital Mortality;Hospitalization;Humans;Male;Middle Aged;Pandemics;Pneumonia, Viral/diagnosis/*mortality/therapy;Retrospective Studies;Risk Factors;SARSCoV2;Spain/epidemiology;DA 2020/11/21 06:00		Characteristics and predictors of death among 4035 consecutively hospitalized 	
310	33014532	Journal Article;Review	O  NNLM;Adipose Stem Cells;COVID19;Coronavirus therapy;Mesenchymal Stem Cells;SARSCoV2;Stem Cell Therapy	DA 2020/10/06 06:01		Research progress on Mesenchymal Stem Cells (MSCs), Adipose-Derived Mesenchymal Stem 	
311	32470568	Journal Article;Review;Systematic Review	O  NNLM;Antivirals;COVID19;Chikungunya;Chloroquine;Dengue;Hydroxychloroquine;Pneumonia	Adult;Antiviral Agents/pharmacology/*therapeutic use;Betacoronavirus/drug effects/physiology;COVID19;Child;Chloroquine/pharmacology/*therapeutic use;Clinical Trials as Topic;Coronavirus Infections/*drug therapy/virology;Drug Repositioning;Humans;Hydroxychloroquine/pharmacology/*therapeutic use;Observational Studies as Topic;Pandemics;Pneumonia, Viral/*drug therapy/virology;SARSCoV2;Treatment Outcome;Viral Load/drug effects;DA 2020/08/12 06:00		Clinical evidence for repurposing chloroquine and hydroxychloroquine as antiviral 	
