	PMID	PT	OT	MH	SI	TI	GR
57	32661214	Journal Article;Review		Adrenal Cortex Hormones/*therapeutic use;AngiotensinConverting Enzyme 2;Antiviral Agents/*therapeutic use;Betacoronavirus/drug effects/immunology/pathogenicity;COVID19;Coronavirus Infections/*drug therapy/epidemiology/immunology/virology;Disease Progression;Drug Discovery;*Drug Repositioning;Gene Expression Regulation;HostPathogen Interactions/drug effects/genetics/immunology;Humans;Hydroxychloroquine/therapeutic use;Immunologic Factors/*therapeutic use;Molecular Docking Simulation;Molecular Targeted Therapy/methods;*Pandemics;PeptidylDipeptidase A/genetics/immunology;Pneumonia, Viral/*drug therapy/epidemiology/immunology/virology;SARSCoV2;Signal Transduction/genetics/immunology;Spike Glycoprotein, Coronavirus/antagonists & inhibitors/genetics/immunology;DA 2020/07/22 06:00		Drug targets for COVID-19 therapeutics: Ongoing global efforts.	
58	32671688	Journal Article;Review	O  NNLM;HCQ;Protease inhibitor;Remdesivir;SARSCoV2;Vaccines	Antiviral Agents/*therapeutic use;Betacoronavirus;COVID19;COVID19 Vaccines;Coronavirus Infections/epidemiology/prevention & control/*therapy;Humans;Pandemics/prevention & control;Pneumonia, Viral/epidemiology/*therapy;Protease Inhibitors/*therapeutic use;SARSCoV2;Viral Vaccines/*therapeutic use;DA 2020/09/15 06:00		Current Status of Multiple Drug Molecules, and Vaccines: An Update in SARS-CoV-2 	R01AG042178, R01AG47812, R01NS105473, and AG060767/U.S. Department of Health and 
59	32539378	Journal Article;Research Support, N.I.H., Extramural;Research Support, NonU.S. Gov't;Review		Amino Acid Sequence;AngiotensinConverting Enzyme 2/chemistry/metabolism;AngiotensinConverting Enzyme Inhibitors/therapeutic use;Animals;Antiviral Agents/*therapeutic use;COVID19/*drug therapy/prevention & control;Cathepsin L/antagonists & inhibitors;Cell Line;Humans;Protein Domains;SARSCoV2/*drug effects;Spike Glycoprotein, Coronavirus/antagonists & inhibitors;Virus Internalization/*drug effects;DA 2020/12/15 06:00		Inhibitors of SARS-CoV-2 Entry: Current and Future Opportunities.	R01 AI150491/AI/NIAID NIH HHS/United States;R01 NS089435/NS/NINDS NIH HHS/United States
60	32722580	Journal Article;Review	O  NNLM;combined treatment;neoadjuvant treatment;soft tissue sarcoma	DA 2020/07/30 06:01		Neoadjuvant Treatment Options in Soft Tissue Sarcomas.	
61	32982751	Journal Article	O  NNLM;ClinicalTrials.gov;SARSCoV2;clinical trial;coronavirus disease 2019;registration	DA 2020/09/29 06:01		Coronavirus Disease 2019 Related Clinical Studies: A Cross-Sectional Analysis.	
62	33169785	Journal Article		DA 2020/11/11 06:01		Abstract: Posters: 13th Clinical Trials on Alzheimer's Disease (CTAD) November 4-7, 	
63	32961333	Journal Article;Research Support, N.I.H., Extramural;Research Support, NonU.S. Gov't	O  NNLM;*AMY101;*Biomarkers;*C3 inhibition;*C5 blockade;*COVID19;*Drug efficacy;*Eculizumab;*Thromboinflammation	Antibodies, Monoclonal, Humanized/therapeutic use;Betacoronavirus/*pathogenicity;Biomarkers/blood;CReactive Protein/metabolism;COVID19;Cohort Studies;Complement Activation/drug effects;Complement C3/*antagonists & inhibitors/genetics/immunology;Complement C5/*antagonists & inhibitors/genetics/immunology;Complement Inactivating Agents/*therapeutic use;Coronavirus Infections/complications/*drug therapy/immunology/virology;Extracellular Traps/drug effects;Female;Gene Expression;Humans;Immunologic Factors/*therapeutic use;Interleukin6/metabolism;Male;Middle Aged;Neutrophils/drug effects/immunology/virology;Pandemics;Peptides, Cyclic/therapeutic use;Pneumonia, Viral/complications/*drug therapy/immunology/virology;Respiratory Distress Syndrome/complications/*drug therapy/immunology/virology;SARSCoV2;Severity of Illness Index;DA 2020/10/29 06:00		Complement C3 vs C5 inhibition in severe COVID-19: Early clinical findings reveal 	P01 AI068730/AI/NIAID NIH HHS/United States
64	32873394	Journal Article;Review	O  NNLM;CRISPR;RNA therapy;gene editing;gene therapy;genodermatoses;skin;topical gene delivery	DA 2020/09/03 06:00		Gene Delivery to the Skin - How Far Have We Come?	
65	32437797	Journal Article;Review	O  NNLM;COVID19;Repurposing drugs;SARSCoV2;Spike proteins;Zoonotic origin	Animals;Betacoronavirus/isolation & purification;COVID19;Coronavirus Infections/*epidemiology/*therapy/virology;Pandemics/prevention & control;Pneumonia, Viral/*epidemiology/*therapy/virology;SARSCoV2;Zoonoses/epidemiology/therapy/virology;DA 2020/06/23 06:00		The current understanding and potential therapeutic options to combat COVID-19.	
66	33014780	Journal Article	O  NNLM;CML;COVID19;NanoString;TKIs;TTV;imatinib;immunity;nilotinib	DA 2020/10/06 06:01		Tyrosine Kinase Inhibitors Play an Antiviral Action in Patients Affected by Chronic 	
67	33441124	Journal Article;Research Support, NonU.S. Gov't	O  NNLM;*Blood transcriptomics;*COVID19;*Coexpression analysis;*Drug repurposing;*Granulocytes;*Molecular disease phenotypes;*Neutrophils;*Stratification;*Transcriptome	Antiviral Agents/therapeutic use;COVID19/drug therapy/*pathology/virology;CaseControl Studies;DownRegulation;Drug Repositioning;Humans;Neutrophils/cytology/immunology/*metabolism;Phenotype;Principal Component Analysis;RNA/blood/chemistry/metabolism;Sequence Analysis, RNA;Severity of Illness Index;*Transcriptome;UpRegulation;DA 2021/01/22 06:00		Disease severity-specific neutrophil signatures in blood transcriptomes stratify 	
68	33535560	Journal Article;Review	O  NNLM;cellular mechanism;immunological response;sulforaphane	Animals;Cardiovascular Diseases/*drug therapy/immunology/pathology;Diabetes Mellitus, Type 2/*drug therapy/immunology/pathology;Humans;Immune System/*drug effects;Isothiocyanates/*therapeutic use;Neoplasms/*drug therapy/immunology/pathology;Protective Agents/*therapeutic use;Schizophrenia/*drug therapy/immunology/pathology;Sulfoxides/*therapeutic use;DA 2021/05/08 06:00		Potential of Sulforaphane as a Natural Immune System Enhancer: A Review.	1201418/Agencia Nacional de Investigación y Desarrollo (ANID)/
69	32581799	Journal Article;Review	O  NNLM;MAPK signaling;RAAS;cardiovascular burden;severe COVID19;signaling pathways	DA 2020/06/26 06:01		Molecular Insights Into SARS COV-2 Interaction With Cardiovascular Disease: Role of 	
70	33025463	Journal Article;Research Support, NonU.S. Gov't;Review	O  NNLM;*Anticancer agents;*Atrial fibrillation;*COVID19;*Direct oral anticoagulants;*Drugdrug interactions;*QT prolongation	Antineoplastic Agents/*adverse effects;Arrhythmias, Cardiac/*chemically induced;Atrial Fibrillation/complications/*drug therapy;COVID19/complications/*drug therapy;Cytochrome P450 Enzyme Inhibitors/adverse effects;Cytochrome P450 Enzyme System;Drug Interactions;Factor Xa Inhibitors/*adverse effects;Hemorrhage/*chemically induced;Humans;Long QT Syndrome/chemically induced;Neoplasms/complications/*drug therapy;Thromboembolism/etiology/*prevention & control;DA 2020/12/15 06:00		The Complex Management of Atrial Fibrillation and Cancer in the COVID-19 Era: Drug 	
71	32567371	Editorial		COVID19;Complementary Therapies/*methods;Coronavirus Infections/complications/*epidemiology/prevention & control;Delivery of Health Care, Integrated/*methods;Humans;Neoplasms/complications/*therapy;Pandemics/prevention & control;Pneumonia, Viral/complications/*epidemiology/prevention & control;Telemedicine/methods;DA 2020/07/01 06:00		Integrative Cancer Therapies: Learning From COVID-19.	
72	32585913	Journal Article;Review	O  NNLM;2019nCoV;COVID19;SARSCoV;SARSCoV2;antibodies;antivirals	DA 2020/06/27 06:01		SARS-CoV-2: An Update on Potential Antivirals in Light of SARS-CoV Antiviral Drug 	
73	32929317	Journal Article;Review	O  NNLM;Antiviral;COVID19;Cellular therapy;Drug;Immunotherapy;Pandemic	DA 2020/09/16 06:00		What are the drugs having potential against COVID-19?	
74	33532135	Journal Article;Review	O  NNLM;COVID19;Chinese Medicine;strategies;treatment	DA 2021/02/04 06:01		A Comprehensive Summary of the Knowledge on COVID-19 Treatment.	
75	32654006	Journal Article	O  NNLM;*Acute respiratory distress syndrome;*Acute respiratory failure;*Coronavirus;*Mesenchymal stromal cells;*Pharmacologic therapy	Antioxidants/therapeutic use;Ascorbic Acid/therapeutic use;COVID19/*drug therapy;Citrulline/therapeutic use;Drug Therapy/*trends;Glycoproteins/therapeutic use;Humans;Mesenchymal Stem Cells;Pandemics;Peptides, Cyclic/therapeutic use;Pyridones/therapeutic use;Pyrimidines/therapeutic use;Receptors, Tumor Necrosis Factor, Type I/antagonists & inhibitors/therapeutic use;Respiratory Distress Syndrome/*drug therapy;Steroids/therapeutic use;Trypsin Inhibitors/therapeutic use;DA 2020/12/29 06:00		Emerging pharmacological therapies for ARDS: COVID-19 and beyond.	MC_G1002460/MRC_/Medical Research Council/United Kingdom;MR/M009149/1/MRC_/Medical Research Council/United Kingdom
76	32513299	Clinical Trial Protocol;Letter	O  NNLM;Anluohuaxian;COVID19;Protocol;Pulmonary fibrosis;Randomised controlled trial	Adolescent;Adult;Aged;Aged, 80 and over;Antiviral Agents/*therapeutic use;*Betacoronavirus;COVID19;Coronavirus Infections/*drug therapy;Drugs, Chinese Herbal/adverse effects/*therapeutic use;Female;Humans;Lung/diagnostic imaging;Male;Middle Aged;Multicenter Studies as Topic;Outcome Assessment, Health Care;Pandemics;Pneumonia, Viral/*drug therapy;Prospective Studies;*Randomized Controlled Trials as Topic;SARSCoV2;Walking;Young Adult;DA 2020/07/01 06:00	ClinicalTrials.gov/NCT04334265	Efficacy and safety of Anluohuaxian in the treatment of patients with severe 	2017ZX10203202/China MegaProject for Infectious Diseases/;2013ZX10002005/China MegaProject for Infectious Diseases/;2016ZX09101065/China MegaProject for Innovative Drugs/
77	32317408	Journal Article;Review	O  NNLM;* COVID19;* drugs;* hostbased;* repurposing;* severe acute respiratory syndrome coronavirus 2;* virusbased;*Coronavirus	Antiviral Agents/therapeutic use;Betacoronavirus;COVID19;Coronavirus Infections/*drug therapy;Drug Discovery;*Drug Repositioning;Humans;Molecular Docking Simulation;Pandemics;Pneumonia, Viral/*drug therapy;Protease Inhibitors/therapeutic use;SARSCoV2;Viral Proteins/antagonists & inhibitors;DA 2020/05/07 06:00		Perspectives for repurposing drugs for the coronavirus disease 2019.	
78	32616710	Journal Article;Research Support, NonU.S. Gov't;Review		DA 2020/07/04 06:00		Overcoming cancer therapeutic bottleneck by drug repurposing.	
79	32081774	Journal Article;Review	O  NNLM;Antiviral drug;BSAAs;Broadspectrum antiviral agents;Drug discovery and development;Virus	Animals;*Antiviral Agents/therapeutic use;*Drug Development;*Drug Discovery;Humans;Virus Diseases/drug therapy;DA 2020/07/25 06:00		Discovery and development of safe-in-man broad-spectrum antiviral agents.	
80	32719749	Journal Article	O  NNLM;COVID19;CT scan;coronavirus;hematologic malignancies;hematology;polymerase chain reaction;screening	DA 2020/07/29 06:01		Screening Strategies for COVID-19 in Patients With Hematologic Malignancies.	
81	32817953	Preprint		DA 2020/08/21 06:01		Maraviroc inhibits SARS-CoV-2 multiplication and s-protein mediated cell fusion in 	R35 GM119617/GM/NIGMS NIH HHS/United States
82	33123148	Journal Article;Research Support, N.I.H., Extramural;Research Support, NonU.S. Gov't;Review	O  NNLM;*GMCSF;*MCSF;*chemokines;*miRNAs;*multiple sclerosis;*myeloid cels;*nanoparticles	Animals;Cell Movement;Central Nervous System/*physiology;Cytokines/metabolism;Encephalomyelitis, Autoimmune, Experimental/*therapy;Humans;Mice;MicroRNAs/genetics;Multiple Sclerosis/*therapy;Myeloid Cells/*physiology;Nanoparticles;Neurogenic Inflammation/*therapy;DA 2021/06/01 06:00		Potential for Targeting Myeloid Cells in Controlling CNS Inflammation.	R01 NS062365/NS/NINDS NIH HHS/United States;R01 EB013198/EB/NIBIB NIH HHS/United States;R01 NS026543/NS/NINDS NIH HHS/United States;R01 NS099334/NS/NINDS NIH HHS/United States;R21 AI142059/AI/NIAID NIH HHS/United States
